las acacias,acacias
las adjuntas,adjuntas
rampa de acceso,acceso
ambos sentidos,ambos
autopista regional del centro,regional del centro
pick up,auto
la panteon,avenida panteon
jose angel lamas,avenida jose angel lamas
la urdaneta,avenida urdaneta
la victoria,avenida victoria
avenida manzanares,avenida principal manzanares
la bandera,bandera
cota mil,boyaca
distribuidos metropolitano,distribuidor metropolitano
gran mariscal de ayacucho,gran mariscal ayacucho
nort sur,norte sur
prados dl este,Aut.Prados del este
prados este,Aut.Prados del este
redoma hoyo de la puerta,hoyo de la puerta
regional dl centro,regional del centro
regional centro,regional del centro
la simon,universidad simon bolivar
universidad simón bolívar,universidad simon bolivar
avenida prados del este,Av.Prados del este
avenida principal prados del este,Av.Prados del este
avenida prados este,Av.Prados del este
avenida principal prados este,Av.Prados del este
avenida principal de los prados del este,Av.Prados del este
avenida principal de los prados este,Av.Prados del este
lomas de prados del este,Lom.Prados del este
lomas de los prados del este,Lom.Prados del este
lomas de prados este,Lom.Prados del este
lomas prados del este,Lom.Prados del este
lomas prados este,Lom.Prados del este
prados del este,Aut.Prados del este
nva. granada,nueva granada
nva granada,nueva granada